"Category","Notice_type","Notice_desc","Company_name","Company_number","Date"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for EASYWORTH LIMITED (10157069)","EASYWORTH LIMITED","10157069",2020-02-19
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ATLAS ELECTRIC LIMITED (10071994)","ATLAS ELECTRIC LIMITED","10071994",2020-02-20
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for GARY COLEMAN LIMITED (04942366)","GARY COLEMAN LIMITED","4942366",2020-02-20
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for KEVIN WATT COURIERS LIMITED (08204626)","KEVIN WATT COURIERS LIMITED","8204626",2020-02-21
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LEE ROBINSON OFFSHORE LTD (10915503)","LEE ROBINSON OFFSHORE LTD","10915503",2020-02-21
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for YOUR GATEWAY LIMITED (08823179)","YOUR GATEWAY LIMITED","8823179",2020-02-21
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for FORUM CAPITAL INTERNATIONAL LIMITED (03123021)","FORUM CAPITAL INTERNATIONAL LIMITED","3123021",2020-02-21
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CSM UTILITIES LIMITED (10664857)","CSM UTILITIES LIMITED","10664857",2020-02-24
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ARMSTRONGS ENVIRONMENTAL SERVICES LIMITED (02318840)","ARMSTRONGS ENVIRONMENTAL SERVICES LIMITED","2318840",2020-02-24
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for VANILLA BIKES LTD (07018999)","VANILLA BIKES LTD","7018999",2020-02-24
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AAGS PARTNERS LIMITED (06499554)","AAGS PARTNERS LIMITED","6499554",2020-02-25
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for COYNE GROUP UK LIMITED (04246869)","COYNE GROUP UK LIMITED","4246869",2020-02-25
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for FINHAM DIGITAL LTD (11078614)","FINHAM DIGITAL LTD","11078614",2020-02-25
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for IL PESCE LTD (10426468)","IL PESCE LTD","10426468",2020-02-26
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for PEARL CONSTRUCTION AND MAINTENANCE LIMITED (05848564)","PEARL CONSTRUCTION AND MAINTENANCE LIMITED","5848564",2020-02-26
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for COYNE CONTRACTORS (SOUTH WEST) LIMITED (09386489)","COYNE CONTRACTORS (SOUTH WEST) LIMITED","9386489",2020-02-26
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for THE INN AT BROUGH CUMBRIA LIMITED (10897546)","THE INN AT BROUGH CUMBRIA LIMITED","10897546",2020-02-26
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for NG2 ROOFING LTD (11510122)","NG2 ROOFING LTD","11510122",2020-02-26
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MARQUEES BY STUART LIMITED (06635586)","MARQUEES BY STUART LIMITED","6635586",2020-02-27
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DNL ENGINEERING SOLUTIONS LTD (10951853)","DNL ENGINEERING SOLUTIONS LTD","10951853",2020-02-27
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ANGLORUM FACADES LTD. (10043758)","ANGLORUM FACADES LTD.","10043758",2020-02-27
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ASDELIVERIES LIMITED (10164079)","ASDELIVERIES LIMITED","10164079",2020-02-27
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AFFINITY COMMUNICATION SYSTEMS LIMITED (04118239)","AFFINITY COMMUNICATION SYSTEMS LIMITED","4118239",2020-02-27
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SERVICO SMART WARRANTIES LIMITED (06885521)","SERVICO SMART WARRANTIES LIMITED","6885521",2020-02-27
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for WOMBATT TECHNOLOGIES LIMITED (06085482)","WOMBATT TECHNOLOGIES LIMITED","6085482",2020-02-28
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MSM REDDITCH LTD (10807489)","MSM REDDITCH LTD","10807489",2020-02-28
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LIBER FACILITIES MANAGEMENT LTD (07869808)","LIBER FACILITIES MANAGEMENT LTD","7869808",2020-02-28
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for PARAGONS ACCORD RECRUITMENT LIMITED (11621192)","PARAGONS ACCORD RECRUITMENT LIMITED","11621192",2020-02-28
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MKR 94 LIMITED (10800314)","MKR 94 LIMITED","10800314",2020-02-28
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SOHAL'S NURSERY CASH & CARRY LIMITED (05711852)","SOHAL'S NURSERY CASH & CARRY LIMITED","5711852",2020-02-28
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LEE CARDWELL MORTGAGES LIMITED (10363368)","LEE CARDWELL MORTGAGES LIMITED","10363368",2020-02-28
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for WFG LONDON LTD (11324050)","WFG LONDON LTD","11324050",2020-02-28
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for PH MORTGAGE SERVICES LTD (08364923)","PH MORTGAGE SERVICES LTD","8364923",2020-02-28
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for M AND O MORTGAGES LTD (08351202)","M AND O MORTGAGES LTD","8351202",2020-02-28
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for HELLO FUTURE LTD (08378526)","HELLO FUTURE LTD","8378526",2020-02-28
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CUTLASS PRODUCTIONS LIMITED (07710337)","CUTLASS PRODUCTIONS LIMITED","7710337",2020-02-29
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AGK  WINDOWS & DOORS LIMITED (10710213)","AGK  WINDOWS & DOORS LIMITED","10710213",2020-02-29
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for THE FIERY GRILL LTD (11301920)","THE FIERY GRILL LTD","11301920",2020-02-29
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for WORKOUTS HEALTH CLUB LIMITED (04958885)","WORKOUTS HEALTH CLUB LIMITED","4958885",2020-03-02
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for NOVERRE RETAIL LIMITED (09148894)","NOVERRE RETAIL LIMITED","9148894",2020-03-02
"Corporate Insolvency","Resolutions for Winding Up","Notice timeline for WEHUSTLE ENTERPRISES LIMITED  (07079440)","WEHUSTLE ENTERPRISES LIMITED ","7079440",2020-03-02
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for A J AGIUS LIMITED (06410570)","A J AGIUS LIMITED","6410570",2020-03-02
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CHAKRA COE LIMITED (11180551)","CHAKRA COE LIMITED","11180551",2020-03-02
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CHAKRA KINGSTON LIMITED (11332128)","CHAKRA KINGSTON LIMITED","11332128",2020-03-02
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CHAKRA KENSINGTON LIMITED (11185038)","CHAKRA KENSINGTON LIMITED","11185038",2020-03-02
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for BUSINESSES CONSULTANCY LIMITED (11116232)","BUSINESSES CONSULTANCY LIMITED","11116232",2020-03-02
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ZAZA COCOON LTD (09229663)","ZAZA COCOON LTD","9229663",2020-03-02
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for VBB (YORKSHIRE) LIMITED (08782040)","VBB (YORKSHIRE) LIMITED","8782040",2020-03-02
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for WESTERHOPE FLOORING LIMITED (10011269)","WESTERHOPE FLOORING LIMITED","10011269",2020-03-03
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for THE ELIXIR CAFE &  DELICATESSEN LTD (NI646519)","THE ELIXIR CAFE &  DELICATESSEN LTD","646519",2020-03-03
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LONG NECK LTD (09157099)","LONG NECK LTD","9157099",2020-03-03
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MAR CATERING LTD (11926528)","MAR CATERING LTD","11926528",2020-03-03
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for PHOENIX MODELS LONDON LTD (SC554056)","PHOENIX MODELS LONDON LTD","554056",2020-03-03
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for K D CONSTRUCTION AND MANAGEMENT SERVICES (WALES) LIMITED (10774846)","K D CONSTRUCTION AND MANAGEMENT SERVICES (WALES) LIMITED","10774846",2020-03-03
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for KINGSTON CPC LIMITED (09225995)","KINGSTON CPC LIMITED","9225995",2020-03-03
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ENERGI MINE LIMITED (10491866)","ENERGI MINE LIMITED","10491866",2020-03-03
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for VILLIERS HALLS LIMITED (10521353)","VILLIERS HALLS LIMITED","10521353",2020-03-03
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RINDA LIMITED  (08949486)","RINDA LIMITED ","8949486",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for FESTIVAL LOGISTICS LTD (09775521)","FESTIVAL LOGISTICS LTD","9775521",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CLAIRE L. MITCHELL LTD (08567289)","CLAIRE L. MITCHELL LTD","8567289",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for JIMS PUB CO LIMITED   (09114947)","JIMS PUB CO LIMITED  ","9114947",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for D1 MODEL MANAGEMENT LTD (05650909)","D1 MODEL MANAGEMENT LTD","5650909",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SPECTRUM HIRE LIMITED (09425192)","SPECTRUM HIRE LIMITED","9425192",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for P N HOME LTD (11311324)","P N HOME LTD","11311324",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DARRINGTON ELECTRICAL LTD (08963062)","DARRINGTON ELECTRICAL LTD","8963062",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for THE OLD CUSTOM HOUSE (HULL) LIMITED (02887766)","THE OLD CUSTOM HOUSE (HULL) LIMITED","2887766",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DIXON HALL & COMPANY LIMITED (09002597)","DIXON HALL & COMPANY LIMITED","9002597",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RIGHTBUILDUK .COM LTD (07985776)","RIGHTBUILDUK .COM LTD","7985776",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MASSALA KITHCHEN LTD (10156817)","MASSALA KITHCHEN LTD","10156817",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for THE BIRCHALL CONSULTANCY LIMITED (08808521)","THE BIRCHALL CONSULTANCY LIMITED","8808521",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MORRISSEY ELECTRICAL AND BUILDING LIMITED (07181828)","MORRISSEY ELECTRICAL AND BUILDING LIMITED","7181828",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for BLIND GALLERY (WOODFORD) LIMITED (11761919)","BLIND GALLERY (WOODFORD) LIMITED","11761919",2020-03-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for OAKRIDGE CONSTRUCTION LIMITED (05732821)","OAKRIDGE CONSTRUCTION LIMITED","5732821",2020-03-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for IKON FURNITURE LTD (08808131)","IKON FURNITURE LTD","8808131",2020-03-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for K B SECURITY & TRAINING LTD (09957744)","K B SECURITY & TRAINING LTD","9957744",2020-03-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for HARLAND SIMON UPS LIMITED (03623394)","HARLAND SIMON UPS LIMITED","3623394",2020-03-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SHL TRAINING SOLUTIONS LTD (06566149)","SHL TRAINING SOLUTIONS LTD","6566149",2020-03-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for PLATINUM GIFTS LIMITED (11352379)","PLATINUM GIFTS LIMITED","11352379",2020-03-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SHOLAID SOLUTIONS LTD (08742758)","SHOLAID SOLUTIONS LTD","8742758",2020-03-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for STAFFPAY LIMITED (11801238)","STAFFPAY LIMITED","11801238",2020-03-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DOMINION CONSULTING PARTNERS LTD (08326036)","DOMINION CONSULTING PARTNERS LTD","8326036",2020-03-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for GTN LTD (10775593)","GTN LTD","10775593",2020-03-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DIAMOND CLEANING SOLUTIONS NE LIMITED (09850790)","DIAMOND CLEANING SOLUTIONS NE LIMITED","9850790",2020-03-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for PEARL TECHNICAL SERVICES LIMITED (03563820)","PEARL TECHNICAL SERVICES LIMITED","3563820",2020-03-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MXM DIGITAL LTD (10576126)","MXM DIGITAL LTD","10576126",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for GRABKING LIMITED (10685091)","GRABKING LIMITED","10685091",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for WASTE RECYCLING AND DECOMMISSIONING LIMITED (08862257)","WASTE RECYCLING AND DECOMMISSIONING LIMITED","8862257",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ORLETON LIMITED (09756761)","ORLETON LIMITED","9756761",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CAPITAL IMPEX LIMITED (06547582)","CAPITAL IMPEX LIMITED","6547582",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for OLENSKA LIMITED (07855587)","OLENSKA LIMITED","7855587",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for K SEAL WINDOWS & DOORS LTD (11798996)","K SEAL WINDOWS & DOORS LTD","11798996",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LAYBEC PROPERTY SERVICES LTD (11965070)","LAYBEC PROPERTY SERVICES LTD","11965070",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AL-HARAMAIN DATES LTD (11301442)","AL-HARAMAIN DATES LTD","11301442",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for JPC RURAL LIMITED (09335814)","JPC RURAL LIMITED","9335814",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RAINBOW OF CARE LIMITED (09184593)","RAINBOW OF CARE LIMITED","9184593",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for BOOJUM 17 LIMITED (NI650693)","BOOJUM 17 LIMITED","650693",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RETAIL CATERING SOLUTION LTD (10943683)","RETAIL CATERING SOLUTION LTD","10943683",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for UNDERDOG ART CO LIMITED (06099671)","UNDERDOG ART CO LIMITED","6099671",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for KAIRA CUISINE LTD (11664443)","KAIRA CUISINE LTD","11664443",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for NPO RETAIL LIMITED (NI073077)","NPO RETAIL LIMITED","73077",2020-03-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for TJL RETAIL LIMITED (07555049)","TJL RETAIL LIMITED","7555049",2020-03-09
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CLOSEWOOD LIMITED (03200910)","CLOSEWOOD LIMITED","3200910",2020-03-09
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for L.A.P.E. TRANSPORT LTD (10749265)","L.A.P.E. TRANSPORT LTD","10749265",2020-03-09
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for M & S WHOLESALE LIMITED (08834688)","M & S WHOLESALE LIMITED","8834688",2020-03-09
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SUB XPRESS SERPENTINE LIMITED (11090116)","SUB XPRESS SERPENTINE LIMITED","11090116",2020-03-09
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CANDESCO DIGITAL LIMITED (09699513)","CANDESCO DIGITAL LIMITED","9699513",2020-03-09
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DANCE GEAR DIRECT LIMITED (08465827)","DANCE GEAR DIRECT LIMITED","8465827",2020-03-09
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for PERFECT COMPUTER SYSTEMS LIMITED (03878080)","PERFECT COMPUTER SYSTEMS LIMITED","3878080",2020-03-09
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for HARLEY AESTHETICS LTD (09702638)","HARLEY AESTHETICS LTD","9702638",2020-03-09
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for TRESOR PARIS (UK) LIMITED (07664834)","TRESOR PARIS (UK) LIMITED","7664834",2020-03-09
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MIRCH MASALA(OXFORD ROAD) LTD (10609158)","MIRCH MASALA(OXFORD ROAD) LTD","10609158",2020-03-09
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for BEAUMONT CONTRACTORS LIMITED (11537398)","BEAUMONT CONTRACTORS LIMITED","11537398",2020-03-09
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MOOJOBS.COM LTD (06927546)","MOOJOBS.COM LTD","6927546",2020-03-09
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SHEIKH AMMAR LTD (09499942)","SHEIKH AMMAR LTD","9499942",2020-03-09
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for C&M LOGISTICS (NW) LTD (11608937)","C&M LOGISTICS (NW) LTD","11608937",2020-03-10
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AMBINET LIMITED (07165001)","AMBINET LIMITED","7165001",2020-03-10
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CLEOPATRA SEAFOODS LIMITED (01196614)","CLEOPATRA SEAFOODS LIMITED","1196614",2020-03-10
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CENTRE SIGNS (UK) LIMITED (04241344)","CENTRE SIGNS (UK) LIMITED","4241344",2020-03-10
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for FUTURE WINDOWS AND DOORS LTD (09511855)","FUTURE WINDOWS AND DOORS LTD","9511855",2020-03-10
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ONE STOP MAINTENANCE LIMITED (10224890)","ONE STOP MAINTENANCE LIMITED","10224890",2020-03-10
"Corporate Insolvency","Resolutions for Winding Up","Notice timeline for INCONSTRUCTION BUILDING SERVICES LTD (09911599)","INCONSTRUCTION BUILDING SERVICES LTD","9911599",2020-03-11
"Corporate Insolvency","Resolutions for Winding Up","Notice timeline for MAGHULL DEVELOPMENTS (DALE STREET) LIMITED (05072542)","MAGHULL DEVELOPMENTS (DALE STREET) LIMITED","5072542",2020-03-11
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for VM COMPLETE SOLUTIONS LTD (11255036)","VM COMPLETE SOLUTIONS LTD","11255036",2020-03-11
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for WEYSIDE DEVELOPMENTS LIMITED (11364838)","WEYSIDE DEVELOPMENTS LIMITED","11364838",2020-03-11
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for INN COGNITO LEISURE LIMITED (08874409)","INN COGNITO LEISURE LIMITED","8874409",2020-03-12
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for S.D. RICHARDS BUILDING CONTRACTORS LIMITED (04912299)","S.D. RICHARDS BUILDING CONTRACTORS LIMITED","4912299",2020-03-12
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LAURA BARNETT PUBLIC RELATIONS LIMITED (07530844)","LAURA BARNETT PUBLIC RELATIONS LIMITED","7530844",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for INTEGRO CONSULTING LIMITED (09016392)","INTEGRO CONSULTING LIMITED","9016392",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for FISHERBRIDGE LIMITED (03837987)","FISHERBRIDGE LIMITED","3837987",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DARBOURNE PROPERTIES LIMITED (01077986)","DARBOURNE PROPERTIES LIMITED","1077986",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for TEAM PEREZ LTD 
                                     (08001213)
                                 ","SPECIAL AND ORDINARY RESOLUTIONS","8001213",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SPOTLIGHT ORTHOPAEDICS LIMITED
                                     (08714181)
                                 ","SPOTLIGHT ORTHOPAEDICS LIMITED","8714181",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for JKI CONSULTANCY LIMITED
                                     (07595173)
                                 ","JKI CONSULTANCY LIMITED","7595173",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for 
                                    GRAHAM BROWNING LIMITED  (07775825)
                                 ","GRAHAM BROWNING LIMITED","7775825",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ABBEY EDUCATION LTD
                                     (08542682)
                                 ","ABBEY EDUCATION LTD","8542682",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for 
                                    BROADWAY MEWS PROPERTIES LIMITED (10099118)
                                 ","BROADWAY MEWS PROPERTIES LIMITED","10099118",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for 
                                    JSS CONSULTING LIMITED (10432367)
                                 ","JSS CONSULTING LIMITED","10432367",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LIBERTY NETWORK CONSULTANCY LIMITED
                                     (03148868)
                                 ","LIBERTY NETWORK CONSULTANCY LIMITED","3148868",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CREDIT RISK SYSTEM DESIGN SOLUTIONS LIMITED
                                     (07568210)
                                 ","CREDIT RISK SYSTEM DESIGN SOLUTIONS LIMITED","7568210",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for 
                                    ABC ANALYTICS LTD (08557598)
                                 ","ABC ANALYTICS LTD","8557598",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for 
                                    TRAVIAX LIMITED  (10447641)
                                 ","TRAVIAX LIMITED","10447641",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RISHI RAJ INFOTECH LIMITED (08739796)","RISHI RAJ INFOTECH LIMITED","8739796",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for 
                                    VITAL SYSTEMS LTD  (10524186)
                                 ","VITAL SYSTEMS LTD","10524186",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for 
                                    PHARE LIMITED (10667954)
                                 ","SPECIAL AND ORDINARY RESOLUTIONS","10667954",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for FORUM HOMES LIMITED  (02619558)","FORUM HOMES LIMITED","2619558",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for 
                                    LOGISYL LTD (07522724)
                                 ","LOGISYL LTD","7522724",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for 
                                    ELIXIR FINANCIAL SERVICES LIMITED (06569991)
                                 ","ELIXIR FINANCIAL SERVICES LIMITED","6569991",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for QUATTRO LOGISTICS LIMITED (10042163)","QUATTRO LOGISTICS LIMITED","10042163",2020-03-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CALLFORT LTD (05919018)","CALLFORT LTD","5919018",2020-03-16
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ARCADIUM ENTERPRISE LTD (08588885)","ARCADIUM ENTERPRISE LTD","8588885",2020-03-16
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LANGFORD BALL ASSOCIATES LIMITED (06085659)","LANGFORD BALL ASSOCIATES LIMITED","6085659",2020-03-16
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for BORONIA AGENCIES LIMITED (11553501)","BORONIA AGENCIES LIMITED","11553501",2020-03-16
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for PROTIME LIMITED (09793533)","PROTIME LIMITED","9793533",2020-03-16
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for OMNI TREASURY SERVICE LTD (08196506)","OMNI TREASURY SERVICE LTD","8196506",2020-03-16
