"Category","Notice_type","Notice_desc","Company_name","Company_number","Date"
"Corporate Insolvency","Moratoria, Prohibited Names and Other: Re-use of a Prohibited Name","Notice timeline for IQ REALISATIONS 2019 LIMITED  (10214773)","NOTICE TO THE CREDITORS OF AN INSOLVENT COMPANY OF THE RE-USE OF A PROHIBITED NAME","10214773",2019-10-25
"Corporate Insolvency","Dismissal of Winding Up Petition","Notice timeline for THE SUPPORTERS OF CHELMSFORD CITY FOOTBALL CLUB LIMITED  (02957198)","Actions","2957198",2019-10-25
"Corporate Insolvency","Winding-Up Orders","Notice timeline for KAMROS CASH AND CARRY LIMITED (07265040)","KAMROS CASH AND CARRY LIMITED","7265040",2019-10-25
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for DR JOHN OUTHWAITE LIMITED (07276064)","Actions","7276064",2019-10-28
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DR JOHN OUTHWAITE LIMITED (07276064)","DR JOHN OUTHWAITE LIMITED","7276064",2019-10-28
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for NORTH WEST ENERGY LTD (10913666)","NORTH WEST ENERGY LTD","10913666",2019-10-28
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for NORTH WEST ENERGY LTD (10913666)","Actions","10913666",2019-10-28
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for PENCLAWDD SHELLFISH PROCESSING CO. LIMITED (02750549)","PENCLAWDD SHELLFISH PROCESSING CO. LIMITED","2750549",2019-10-28
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for RSM FREIGHT & LOGISTICS LTD (09595750)","Actions","9595750",2019-10-29
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RSM FREIGHT & LOGISTICS LTD (09595750)","RSM FREIGHT & LOGISTICS LTD","9595750",2019-10-29
"Corporate Insolvency","Winding-Up Orders","Notice timeline for E2 CLIMATE LTD (09511654)","E2 CLIMATE LTD","9511654",2019-10-29
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for A&G MCHARDY LIMITED (SC439379)","Actions","439379",2019-10-29
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for A&G MCHARDY LIMITED (SC439379)","A&G MCHARDY LIMITED","439379",2019-10-29
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for AUTOBAHN NETWORK LIMITED (05673505)","Actions","5673505",2019-10-30
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AUTOBAHN NETWORK LIMITED (05673505)","AUTOBAHN NETWORK LIMITED","5673505",2019-10-30
"Corporate Insolvency","Moratoria, Prohibited Names and Other: Re-use of a Prohibited Name","Notice timeline for LET'S HANG ON LIMITED (06823283)","LET'S HANG ON LIMITED","6823283",2019-10-30
"Corporate Insolvency","Winding-Up Orders","Notice timeline for JANEWAY CONSTRUCTION SERVICES LIMITED (09368928)","JANEWAY CONSTRUCTION SERVICES LIMITED","9368928",2019-10-31
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for AC SURVEYORS AND VALUERS LTD (05759866)","Actions","5759866",2019-11-01
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AC SURVEYORS AND VALUERS LTD (05759866)","AC SURVEYORS AND VALUERS LTD","5759866",2019-11-01
"Corporate Insolvency","Moratoria, Prohibited Names and Other: Re-use of a Prohibited Name","Notice timeline for 
                                    ROADSAFE CORPORATE GROUP LIMITED (08133608)
                                 ","RULE 22.4 OF THE INSOLVENCY RULES 2016","8133608",2019-11-01
"Corporate Insolvency","Winding-Up Orders","Notice timeline for ELITE MANAGEMENT (MIDLANDS) LIMITED (06733401)","ELITE MANAGEMENT (MIDLANDS) LIMITED","6733401",2019-11-01
"Corporate Insolvency","Winding-Up Orders","Notice timeline for MARTYN F ARTHUR LTD (07324673)","MARTYN F ARTHUR LTD","7324673",2019-11-01
"Corporate Insolvency","Dismissal of Winding Up Petition","Notice timeline for CITY VIEW PROJECTS LIMITED  (08323918)","Actions","8323918",2019-11-01
"Corporate Insolvency","Winding-Up Orders","Notice timeline for FENIX CONSTRUCTION FACADES LTD (09044581)","FENIX CONSTRUCTION FACADES LTD","9044581",2019-11-01
"Corporate Insolvency","Winding-Up Orders","Notice timeline for ELITE MANAGEMENT SOLUTIONS LIMITED (10067417)","ELITE MANAGEMENT SOLUTIONS LIMITED","10067417",2019-11-01
"Corporate Insolvency","Moratoria, Prohibited Names and Other: Re-use of a Prohibited Name","Notice timeline for D.A.S.S. B&M LIMITED
                                     (08368876
                                    )
                                 ","NOTICE TO CREDITORS OF AN INSOLVENT COMPANY OF THE RE-USE OF A PROHIBITED NAME","8368876",2019-11-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for BULL IN A CHINA SHOP BARS LIMITED (10868273)","BULL IN A CHINA SHOP BARS LIMITED","10868273",2019-11-04
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for BULL IN A CHINA SHOP BARS LIMITED (10868273)","Actions","10868273",2019-11-04
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SOLID ROCK DIGITAL LTD (09643300)","SOLID ROCK DIGITAL LTD","9643300",2019-11-05
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for SOLID ROCK DIGITAL LTD (09643300)","Actions","9643300",2019-11-05
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for ST IVES DINE LTD (08386719)","Actions","8386719",2019-11-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ST IVES DINE LTD (08386719)","ST IVES DINE LTD","8386719",2019-11-05
"Corporate Insolvency","Notices to Creditors","Notice timeline for COUNTRYMAN BUSINESS LTD. (08845945)","COUNTRYMAN BUSINESS LTD.","8845945",2019-11-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for COUNTRYMAN BUSINESS LTD. (08845945)","COUNTRYMAN BUSINESS LTD.","8845945",2019-11-05
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for COUNTRYMAN BUSINESS LTD. (08845945)","Actions","8845945",2019-11-05
"Corporate Insolvency","Resolutions for Winding Up","Notice timeline for STALWART INSPECTION LTD (08798739)","STALWART INSPECTION LTD","8798739",2019-11-05
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for STALWART INSPECTION LTD (08798739)","Actions","8798739",2019-11-05
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CASTELLO LEISURE LIMITED (08030714)","CASTELLO LEISURE LIMITED","8030714",2019-11-06
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for CASTELLO LEISURE LIMITED (08030714)","Actions","8030714",2019-11-06
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for SAND DANCE PRODUCTIONS LTD (09209341)","Actions","9209341",2019-11-06
"Corporate Insolvency","Notices to Creditors","Notice timeline for SAND DANCE PRODUCTIONS LTD (09209341)","SAND DANCE PRODUCTIONS LTD","9209341",2019-11-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SAND DANCE PRODUCTIONS LTD (09209341)","SAND DANCE PRODUCTIONS LTD","9209341",2019-11-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RUSTICA 32 LIMITED (11176985)","RUSTICA 32 LIMITED","11176985",2019-11-06
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for RUSTICA 32 LIMITED (11176985)","Actions","11176985",2019-11-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DK LEISURE (NORTH) LTD (11496397)","DK LEISURE (NORTH) LTD","11496397",2019-11-06
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for DK LEISURE (NORTH) LTD (11496397)","Actions","11496397",2019-11-06
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for WYE COFFEE AND KITCHEN LIMITED (09835515)","Actions","9835515",2019-11-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for WYE COFFEE AND KITCHEN LIMITED (09835515)","WYE COFFEE AND KITCHEN LIMITED","9835515",2019-11-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for HOODEN INN WILLESBOROUGH LIMITED (09860876)","HOODEN INN WILLESBOROUGH LIMITED","9860876",2019-11-06
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for HOODEN INN WILLESBOROUGH LIMITED (09860876)","Actions","9860876",2019-11-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CAFE COPIA GROUP LIMITED (06694763)","CAFE COPIA GROUP LIMITED","6694763",2019-11-06
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for CAFE COPIA GROUP LIMITED (06694763)","Actions","6694763",2019-11-06
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for RKRS LIMITED (09733036)","Actions","9733036",2019-11-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RKRS LIMITED (09733036)","RKRS LIMITED","9733036",2019-11-06
"Corporate Insolvency","Notices to Creditors","Notice timeline for HAPPY MART LIMITED (07301987)","HAPPY MART LIMITED","7301987",2019-11-07
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for HAPPY MART LIMITED (07301987)","Actions","7301987",2019-11-07
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for HAPPY MART LIMITED (07301987)","HAPPY MART LIMITED","7301987",2019-11-07
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for STELLAR PRINT MEDIA LIMITED (10823433)","STELLAR PRINT MEDIA LIMITED","10823433",2019-11-07
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for STELLAR PRINT MEDIA LIMITED (10823433)","Actions","10823433",2019-11-07
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for F S GROUP LIMITED  (10313685)","Actions","10313685",2019-11-07
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for F S GROUP LIMITED  (10313685)","F S GROUP LIMITED ","10313685",2019-11-07
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for NEW HORIZONS (CAREERS) LTD (03008741)","Actions","3008741",2019-11-07
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for NEW HORIZONS (CAREERS) LTD (03008741)","NEW HORIZONS (CAREERS) LTD","3008741",2019-11-07
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for GO SITE SOLUTIONS LIMITED (11782484)","GO SITE SOLUTIONS LIMITED","11782484",2019-11-07
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for GO SITE SOLUTIONS LIMITED (11782484)","Actions","11782484",2019-11-07
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for GM LOUNGE LTD (08327951)","GM LOUNGE LTD","8327951",2019-11-07
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for GM LOUNGE LTD (08327951)","Actions","8327951",2019-11-07
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for BABEEK LIMITED (11207533)","BABEEK LIMITED","11207533",2019-11-07
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for BABEEK LIMITED (11207533)","Actions","11207533",2019-11-07
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for R. MILNER ELECTRICAL LIMITED  (09473215)","Actions","9473215",2019-11-07
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for R. MILNER ELECTRICAL LIMITED  (09473215)","R. MILNER ELECTRICAL LIMITED ","9473215",2019-11-07
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for NEXTGEN ENERGY SOLUTIONS LIMITED (07334390)","NEXTGEN ENERGY SOLUTIONS LIMITED","7334390",2019-11-08
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for OVERLOT SOLUTIONS LIMITED (03957838)","OVERLOT SOLUTIONS LIMITED","3957838",2019-11-08
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for OVERLOT SOLUTIONS LIMITED (03957838)","Actions","3957838",2019-11-08
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for JIGSAW GTR LIMITED (07373421)","JIGSAW GTR LIMITED","7373421",2019-11-08
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for JIGSAW GTR LIMITED (07373421)","Actions","7373421",2019-11-08
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for NEXTGEN ENERGY SOLUTIONS LIMITED (07334390)","Actions","7334390",2019-11-08
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for ADVAY (UK) LIMITED (07031292)","Actions","7031292",2019-11-08
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ADVAY (UK) LIMITED (07031292)","ADVAY (UK) LIMITED","7031292",2019-11-08
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for OAKS FURNITURE T/A FURNITURE WORLD LIMITED
                                     (NI619751)
                                 ","
                                             OAKS FURNITURE T/A FURNITURE WORLD LIMITED","619751",2019-11-08
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for STUDIO SOUK (NI623171)","STUDIO SOUK","623171",2019-11-08
"Corporate Insolvency","Notices to Creditors","Notice timeline for STUDIO SOUK (NI623171)","IN THE MATTER OF THE INSOLVENCY (NORTHERN IRELAND) ORDER 1989 AND","623171",2019-11-08
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for OAKS FURNITURE T/A FURNITURE WORLD LIMITED
                                     (NI619751)
                                 ","PURSUANT TO ARTICLE 95, INSOLVENCY ORDER 1989 AND RULE 4.107, INSOLVENCY RULES 1991","619751",2019-11-08
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for STUDIO SOUK (NI623171)","PURSUANT TO ARTICLE 95, INSOLVENCY ORDER 1989 AND RULE 4.107, INSOLVENCY RULES 1991","623171",2019-11-08
"Corporate Insolvency","Notices to Creditors","Notice timeline for OAKS FURNITURE T/A FURNITURE WORLD LIMITED
                                     (NI619751)
                                 ","IN THE MATTER OF THE INSOLVENCY (NORTHERN IRELAND) ORDER 1989 AND","619751",2019-11-08
"Corporate Insolvency","Moratoria, Prohibited Names and Other: Re-use of a Prohibited Name","Notice timeline for MAEGRACE COMPLIANCE SERVICES LIMITED (09494794)","MAEGRACE COMPLIANCE SERVICES LIMITED","9494794",2019-11-08
"Corporate Insolvency","Appointment of Administrators","Notice timeline for ANNICARE LTD (09453361)","ANNICARE LTD","9453361",2019-11-08
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LIVI CONSTRUCTION LTD (11169645)","LIVI CONSTRUCTION LTD","11169645",2019-11-11
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for LIVI CONSTRUCTION LTD (11169645)","Actions","11169645",2019-11-11
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for SP SITE SERVICES LIMITED (10539526)","Actions","10539526",2019-11-11
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SP SITE SERVICES LIMITED (10539526)","SP SITE SERVICES LIMITED","10539526",2019-11-11
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for R&R ELECTRICAL LONDON LIMITED (07281333)","R&R ELECTRICAL LONDON LIMITED","7281333",2019-11-12
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for R&R ELECTRICAL LONDON LIMITED (07281333)","Actions","7281333",2019-11-12
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for SOUTH STREET TRADING LIMITED (07984051)","Actions","7984051",2019-11-12
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SOUTH STREET TRADING LIMITED (07984051)","SOUTH STREET TRADING LIMITED","7984051",2019-11-12
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for CHAPELLE LIMITED (02535283)","Actions","2535283",2019-11-12
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CHAPELLE LIMITED (02535283)","CHAPELLE LIMITED","2535283",2019-11-12
"Corporate Insolvency","Petitions to Wind Up (Companies)","Notice timeline for LORD LINE CAMPUS LIMITED (06991977)","Actions","6991977",2019-11-13
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for THE WAX BAR (EDINBURGH) LTD (SC412891)","THE WAX BAR (EDINBURGH) LTD","412891",2019-11-15
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for THE WAX BAR (EDINBURGH) LTD (SC412891)","Actions","412891",2019-11-15
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MONEY INNS LTD (11267943)","MONEY INNS LTD","11267943",2019-11-19
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for MONEY INNS LTD (11267943)","Actions","11267943",2019-11-19
"Corporate Insolvency","Meetings of Creditors","Notice timeline for GREEN OIL INTERNATIONAL LIMITED (06555858)","GREEN OIL INTERNATIONAL LIMITED","6555858",2019-11-19
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for TIME PUB CO LTD (11267017)","TIME PUB CO LTD","11267017",2019-11-19
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for TIME PUB CO LTD (11267017)","Actions","11267017",2019-11-19
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ALDERWOOD CONSTRUCTION LIMITED (06435282)","ALDERWOOD CONSTRUCTION LIMITED","6435282",2019-11-19
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for ALDERWOOD CONSTRUCTION LIMITED (06435282)","Actions","6435282",2019-11-19
